002896,中大力德,5  ,0 ,0   ,0,0,0
300571,平治信息,50 ,0 ,0   ,0,0,0
600197,伊力特  ,37 ,0 ,2.31,0,0,0
002851,麦格米特,40 ,0 ,1.92,0,0,0
300036,超图软件,20 ,0 ,0   ,0,0,0
002859,洁美科技,23 ,0 ,0   ,0,0,0
300567,精测电子,71 ,0 ,0   ,0,0,0
600585,海螺水泥,84 ,0 ,2.26,0,1,0
300122,智飞生物,77 ,0 ,0   ,0,0,0
002234,民和股份,25 ,0 ,0   ,0,0,0
300568,星源材质,39 ,0 ,0   ,0,0,0
000932,华菱钢铁,34 ,0 ,2.5 ,0,0,0
300720,海川智能,1  ,0 ,0   ,0,0,0
300644,南京聚隆,13 ,0 ,0   ,0,0,0
300373,扬杰科技,21 ,0 ,0   ,0,0,0
603096,新经典  ,94 ,0 ,0   ,0,0,0
600271,航天信息,67 ,0 ,1.96,0,0,0
000683,远兴能源,29 ,1 ,1.88,0,0,0
600872,中炬高新,92 ,0 ,0   ,0,0,0
300662,科锐国际,9  ,0 ,0   ,0,0,0
600329,中新药业,46 ,0 ,3.06,0,0,0
603338,浙江鼎力,81 ,0 ,1.5 ,0,1,0
002507,涪陵榨菜,93 ,0 ,0   ,0,1,0
603718,海利生物,61 ,0 ,3.11,0,0,0
002179,中航光电,93 ,0 ,0   ,0,0,0
002903,宇环数控,12 ,0 ,2.98,0,0,0
002747,埃斯顿  ,68 ,0 ,2.37,0,1,0
002795,永和智控,12 ,0 ,0   ,0,0,0
300529,健帆生物,53 ,0 ,0   ,0,0,0
002025,航天电器,51 ,0 ,0.86,0,0,0
600596,新安股份,25 ,0 ,0   ,0,0,0
002828,贝肯能源,7  ,8 ,0   ,0,0,0
601006,大秦铁路,111,0 ,0   ,0,1,0
300423,鲁亿通  ,46 ,0 ,1.54,0,0,0
000528,柳 工   ,33 ,16,3.36,0,0,0
300408,三环集团,95 ,0 ,0   ,0,0,0
600884,杉杉股份,21 ,0 ,0   ,0,0,0
000301,东方市场,70 ,9 ,0   ,0,0,0
600529,山东药玻,75 ,0 ,2.91,0,0,0
300107,建新股份,11 ,0 ,0   ,0,0,0
601233,桐昆股份,61 ,0 ,0   ,0,0,0
002753,永东股份,20 ,0 ,0   ,0,0,0
002919,名臣健康,1  ,0 ,0   ,0,0,0
300357,我武生物,102,0 ,0   ,0,0,0
300732,设研院  ,1  ,0 ,0   ,0,0,0
600563,法拉电子,53 ,0 ,0   ,0,0,0
002333,罗普斯金,87 ,0 ,0   ,0,0,0
603535,嘉诚国际,4  ,0 ,0   ,0,0,0
002309,中利集团,51 ,0 ,0   ,0,0,0
603288,海天味业,171,0 ,0   ,0,1,29
300517,海波重科,40 ,10,3.07,0,0,0
002023,海特高新,12 ,0 ,0   ,0,0,0
002475,立讯精密,98 ,0 ,0   ,0,1,0
600305,恒顺醋业,41 ,0 ,1.83,0,0,0
002007,华兰生物,50 ,0 ,2.01,0,0,0
002841,视源股份,74 ,0 ,0   ,0,0,0
600256,广汇能源,57 ,0 ,2.25,0,0,0
600270,外运发展,92 ,0 ,3.48,0,0,0
000739,普洛药业,70 ,0 ,1.99,0,0,0
600165,新日恒力,23 ,0 ,0   ,0,0,0
002897,意华股份,9  ,0 ,0   ,0,0,0
300047,天源迪科,35 ,0 ,0   ,0,0,0
002889,东方嘉盛,0  ,0 ,0   ,0,0,0
600826,兰生股份,45 ,0 ,1.6 ,0,0,0
600886,XD国投电,92 ,0 ,1.48,0,0,0
002030,达安基因,65 ,5 ,1.59,0,0,0
002013,中航机电,73 ,0 ,0   ,0,0,0
600031,三一重工,42 ,17,2.44,0,0,0
002368,太极股份,23 ,0 ,0   ,0,0,0
002262,恩华药业,89 ,0 ,2.33,0,0,0
603816,顾家家居,52 ,0 ,0   ,0,1,0
600132,重庆啤酒,102,0 ,2.21,0,0,0
603076,乐惠国际,14 ,11,2.74,0,0,0
002511,中顺洁柔,86 ,0 ,0   ,0,0,0
300470,日机密封,70 ,0 ,2.16,0,0,0
